tweet,polarity,subjectivity,
RT @iSarmadKiyani: The PAT workers insisted that the barricades were legal and that they had been set up four years ago to protect Qadri‚Ä≤s‚Ä¶,0.2,0.2,
"RT @PeepShowScripts: ‚ÄúJust because I‚Äôm dealing a little bit of drugs does not make a drug dealer.‚Ä?

‚ÄúYes it does.‚Ä?

‚ÄúCome Mr Taliban, tally‚Ä¶",-0.1875,0.5,
"RT @JudLounsbury: Last night is still a national tragedy. Bannon ALMOST got American Taliban elected, who thought Blacks should still be sl‚Ä¶",0,0.0333333333,
"RT @TheUNTimes: ""Peace can only be achieved through direct negotiations between the government and the #Taliban,"" UN Secretary-General on #‚Ä¶",0.05,0.7,
RT @TRobinsonNewEra: Guess who tried to prevent the extradition of terrorist Babar Ahmad to ü?ü?USA for secretly running an Al Qaeda Taliban‚Ä¶,-0.4,0.7,
The PAT workers insisted that the barricades were legal and that they had been set up four years ago to protect Qad‚Ä¶ https://t.co/uYeGIhnaOL,0.2,0.2,
We are really going after the Taliban's money in the form of drug production. See https://t.co/bgO1yKM1z1,0.2,0.2,
"RT @PattyPoxah: Voc√™s nem conversam comigo, eu posso ser o amor da vida de voc√™s, e voc√™s ai perdendo tempo.",0,0,
"RT @AfghanWarBlog: General Nicholson, Cdr Resolute Support, says it will take two years to drive the Taliban back from some areas that they‚Ä¶",0.025,0.25,
RT @TRobinsonNewEra: Guess who tried to prevent the extradition of terrorist Babar Ahmad to ü?ü?USA for secretly running an Al Qaeda Taliban‚Ä¶,-0.4,0.7,
"RT @Nasirkhansf: https://t.co/seDWcG315K
PTI chairman Imran Khan‚Äôs support to self-declared father of Taliban Maulana Samiul Haq is an exam‚Ä¶",0,0,
RT @TRobinsonNewEra: Guess who tried to prevent the extradition of terrorist Babar Ahmad to ü?ü?USA for secretly running an Al Qaeda Taliban‚Ä¶,-0.4,0.7,
@AsteadWesley The problem for republicans is that people under 50 vote overwhelmingly for democrats. Republican Par‚Ä¶ https://t.co/H0Bmws5JVY,0.5,1,
RT @ProAsyl: Durch die Taliban entf√ºhrt und misshandelt - doch das Bamf wei√?es wie so oft besser: ¬ªDer Sachvortrag gen√ºgt nicht den aufgef‚Ä¶,0,0,
RT @TRobinsonNewEra: Guess who tried to prevent the extradition of terrorist Babar Ahmad to ü?ü?USA for secretly running an Al Qaeda Taliban‚Ä¶,-0.4,0.7,
"RT @BhittaniKhannnn: They, like Taliban &amp; hindutva, call M A Jinnah a drunk &amp; an addict and other vile things, what makes you think they go‚Ä¶",-0.3125,0.6875,
@Morafanova @Wert0003 @correoderobert @ViudaNegra27 @vasnacat @miqueleandolini @txarito27 @pizcochico68‚Ä¶ https://t.co/eqfJMv45Ex,0,0,
Seka ba bo ba tswala Taliban https://t.co/RpmmoDCtCf,0,0,
RT @TRobinsonNewEra: Guess who tried to prevent the extradition of terrorist Babar Ahmad to ü?ü?USA for secretly running an Al Qaeda Taliban‚Ä¶,-0.4,0.7,
RT @therealrafaqat: https://t.co/2YmVn7OMHg A very important message for international community plz read &amp,  share #ISIS #IS #ISIL #Daesh #‚Ä¶,0.26,0.5
RT @IsmailMaryam6: #MFI Denounces All Forms of #Terrorism  https://t.co/9CvAchgkm7 #ISIS #Taliban #AlQaeda #AlNusra #BokoHaram #AlShabab #Z‚Ä¶,0,0,
"@ParralaxView Wrong , i lived here i experienced , taliban was just newly group made by xxx to keep the xxx as long‚Ä¶ https://t.co/eIFdO9u9nY",0.1454545455,0.7515151515,
VIDEO: As√≠ se vive en el herm√©tico territorio controlado por El Talib√°n en Afganist√°n #MedioOriente https://t.co/L9tQhQxJa2,0,0,
"RT @PRESlDENTBANNON: @realDonaldTrump Day 327

Wall length: 0
Wall height: 0
Pesos from Mexico: 0
Healthcare reforms: 0
Tax reforms: 0
Mini‚Ä¶",0,0,
"RT @cbouzy: Some did not like my comment about evangelicals, but sometimes the truth hurts. Evangelicals voted overwhelmingly for a man tha‚Ä¶",0.5,1,
#ThankYouAlabama,0,0,
Participating in a group project isn‚Äôt always easy. You have a... More for Capricorn https://t.co/qv8qoz9zVx,0.4666666667,0.6666666667,
"RT @Nasirkhansf: https://t.co/seDWcG315K
PTI chairman Imran Khan‚Äôs support to self-declared father of Taliban Maulana Samiul Haq is an exam‚Ä¶",0,0,
"RT @Bagh_eBabur: Extremely rare photos of the Minaret of Chakari in southern Kabul, #Afghanistan built in the 1st century AD. A Buddhist pi‚Ä¶",0.15,0.45,
"@GOPChairwoman Well, by your logic, Trump answers to the American people and they DO NOT support THAT radical right‚Ä¶ https://t.co/vAL1TjRWLv",0,0,
@mitchellvii Maybe also don't run a candidate who thinks 9/11 was God's way of punishing America for not banning ho‚Ä¶ https://t.co/3sMzNPa1xH,0,0,
RT @TRobinsonNewEra: Guess who tried to prevent the extradition of terrorist Babar Ahmad to ü?ü?USA for secretly running an Al Qaeda Taliban‚Ä¶,-0.4,0.7,
"@yelloflash29 what‚Äôs makes Sharia so difficult to understand. Everything else you can just read it to understand, b‚Ä¶ https://t.co/q0OztOEx4i",-0.5,1,
"They, like Taliban &amp; hindutva, call M A Jinnah a drunk &amp; an addict and other vile things, what makes you think they‚Ä¶ https://t.co/6GIcl5WgRt",-0.3125,0.6875,
@ParralaxView Mostly the reason of problems are others . Where was taliban in 70s &amp, 80s?,0.5,0.5
"@BreeNewsome @samswey Yes, If not for 22,000 Alabamians who wrote-in someone other than Roy Moore they would have e‚Ä¶ https://t.co/wb1uJHW6Cx",-0.125,0.375,
"@pastorlocke Hey snowflake, maybe God is tired of you evangelical hypocrites trading your souls for political gain.",-0.2,0.4,
‡§ê‡§∏‡•?‡§≤‡•ã‡§ó‡•?‡§ï‡•?‡§?§¶‡§Æ‡§ñ‡•ã‡§∞ ‡§ú‡§æ‡§®‡§µ‡§∞ ‡§ß‡•\‡§∞‡•?‡§ß‡•\‡§∞‡•?‡§π‡§ø‡§Ç‡§¶‡•Å‡§§‡•ç‡§µ‡§µ‡§æ‡§¶‡•\ ‡§?§Ç‡§§‡§ï‡§µ‡§æ‡§¶‡§ø‡§Ø‡•ã‡§?‡§®‡•?‡§¨‡§®‡§æ‡§Ø‡§æ ‡§π‡•?https://t.co/CEpVhOuRlp,0,0,
@TdStromanIII @FoxNews @POTUS The last admin also traded 5 Taliban leaders for a deserter... people forget that.,0,0.0666666667,
RT @TRobinsonNewEra: Guess who tried to prevent the extradition of terrorist Babar Ahmad to ü?ü?USA for secretly running an Al Qaeda Taliban‚Ä¶,-0.4,0.7,
UK DailyMail Top Afghan official SEALTeam6 shootdown Taliban Trap https://t.co/FdbtIZ8Hzn #RT @FallenAngelMovi #TCOT https://t.co/v2ZpggfGng,0.5,0.5,
RT @SudarshanNewsTV: ‡§∏‡§Ç‡§∏‡§æ‡§∞ ‡§ï‡•?‡§∏‡§¨‡§∏‡•?‡§¶‡•Å‡§∞‡•ç‡§¶‡§æ‡§Ç‡§§ ‡§?§§‡§Ç‡§ï‡•\ ‡§¶‡§≤ #Taliban ‡§ï‡•?‡§ï‡•Å‡§ñ‡•ç‡§Ø‡§æ‡§§ ‡§∏‡§Ç‡§?@PChidambaram_IN ‡§ï‡•\ ‡§§‡§∏‡•ç‡§µ‡•\‡§∞ ‡§ï‡•?‡§¨‡§æ‡§¶ ‡§∞‡§æ‡§ú‡§®‡•à‡§§‡§ø‡§?‡§¨‡§µ‡§Ç‡§°‡§∞ . @INCIndia‚Ä¶,0,0,
"Hunting Taliban and Islamic State Fighters, From 20,000 Feet https://t.co/gGx48ztnL6",0,0,
Militer AS Hancurkan 25 Pabrik Narkotika Sumber Pendapatan Taliban https://t.co/aLKVXaFMaU,0,0,
@magadearg Me diste un consuelo.... por lo que veo no soy la √∫nica loca talib√°n..... jajaj,0,0,
Wallahi I am not even joking my irl gets stalked by this white girl and she sent screenshots to him of several chat‚Ä¶ https://t.co/Sk1VSs6YTj,0,0,
"@RMConservative @CNN A TRULY TONE DEAF STATEMENT,you‚Äôre right about one thing, Bannon did create the movement and h‚Ä¶ https://t.co/xuHL2Ayj93",0.2857142857,0.5357142857,
RT @TRobinsonNewEra: Guess who tried to prevent the extradition of terrorist Babar Ahmad to ü?ü?USA for secretly running an Al Qaeda Taliban‚Ä¶,-0.4,0.7,
"RT @mepanews: Taliban'dan 'direni≈?medyasƒ±' atƒ±lƒ±mƒ±               
https://t.co/kHcoiFhbgx",0,0,
"RT @Bagh_eBabur: Extremely rare photos of the Minaret of Chakari in southern Kabul, #Afghanistan built in the 1st century AD. A Buddhist pi‚Ä¶",0.15,0.45,
"RT @TrevorCoultMC: Today's Hero, Colin Spooner who was wounded when his patrol was surrounded by 40 Taliban who took advantage of a patrol‚Ä¶",0,0,
RT @TRobinsonNewEra: Guess who tried to prevent the extradition of terrorist Babar Ahmad to ü?ü?USA for secretly running an Al Qaeda Taliban‚Ä¶,-0.4,0.7,
RT @mughalbha: #ImranKhan cannot just blame #PakistanArmy &amp, #MilitaryDictatorShip for the rise in #IslamicExtremism in #Pakistan he cannot‚Ä¶,0,0
@elcorreo_com @jortizdelazcano Se sac√≥ el globo sonda y ahora viendo que no hace mucha gracia a la parroquia talib√°‚Ä¶ https://t.co/j0jdipmVGA,0,0,
"RT @republic: Another picture emerges to haunt the Congress!

https://t.co/xF25wQpH7r",0,0,
@yelloflash29 It‚Äôs really not that difficult. I know everyone likes to pretend it is. Pick up and read ‚Äòreliance of‚Ä¶ https://t.co/FufkAx8nna,-0.3,0.6,
"RT @Bagh_eBabur: Extremely rare photos of the Minaret of Chakari in southern Kabul, #Afghanistan built in the 1st century AD. A Buddhist pi‚Ä¶",0.15,0.45,
"RT @GYFHAS: Why has Justin Trudeau abandoned Canada's interpreters, still in Afghanistan, to the Taliban? https://t.co/4d47XADReA",0,0,
"RT @Bagh_eBabur: Extremely rare photos of the Minaret of Chakari in southern Kabul, #Afghanistan built in the 1st century AD. A Buddhist pi‚Ä¶",0.15,0.45,
RT @iSarmadKiyani: The PAT workers insisted that the barricades were legal and that they had been set up four years ago to protect Qadri‚Ä≤s‚Ä¶,0.2,0.2,
"RT @TimesofIslambad: Afghan Taliban capture Sancharak district area after public uprising
https://t.co/HyDm2Sq9cy https://t.co/YQvhBaIyqn",0,0.0666666667,
@omerturantv Taliban surviv√∂r Maƒürip surviv√∂r Vahhabi surviv√∂r C√ºbbeli surviv√∂r yapsamƒ±ydƒ± acep ü§£ü§£ü§£,0,0,
"RT @Bagh_eBabur: Extremely rare photos of the Minaret of Chakari in southern Kabul, #Afghanistan built in the 1st century AD. A Buddhist pi‚Ä¶",0.15,0.45,
"@nytopinion If not for 22,000 Alabama voters who wrote-in someone other than Roy Moore, they would have elected a n‚Ä¶ https://t.co/2FVgugS6rK",-0.125,0.375,
RT @mughalbha: #ImranKhan cannot just blame #PakistanArmy &amp, #MilitaryDictatorShip for the rise in #IslamicExtremism in #Pakistan he cannot‚Ä¶,0,0
@StellaHongZhang @WongMNC_CtrExDr I am sure those quotes over terrorists will also appear in next Reuters report ov‚Ä¶ https://t.co/6LVjOQEtKi,0.25,0.4444444444,
RT @SudarshanNewsTV: ‡§∏‡§Ç‡§∏‡§æ‡§∞ ‡§ï‡•?‡§∏‡§¨‡§∏‡•?‡§¶‡•Å‡§∞‡•ç‡§¶‡§æ‡§Ç‡§§ ‡§?§§‡§Ç‡§ï‡•\ ‡§¶‡§≤ #Taliban ‡§ï‡•?‡§ï‡•Å‡§ñ‡•ç‡§Ø‡§æ‡§§ ‡§∏‡§Ç‡§?@PChidambaram_IN ‡§ï‡•\ ‡§§‡§∏‡•ç‡§µ‡•\‡§∞ ‡§ï‡•?‡§¨‡§æ‡§¶ ‡§∞‡§æ‡§ú‡§®‡•à‡§§‡§ø‡§?‡§¨‡§µ‡§Ç‡§°‡§∞ . @INCIndia‚Ä¶,0,0,
RT @RdStilgenbauer: @kurteichenwald This is the result of ‚ÄúThe American Taliban‚Ä?otherwise known as the GOP.,0,0,
RT @mughalbha: #ImranKhan cannot just blame #PakistanArmy &amp, #MilitaryDictatorShip for the rise in #IslamicExtremism in #Pakistan he cannot‚Ä¶,0,0
RT @ProudResister: .@JackKingston justifying Evangelicals voting for a child molester: ‚ÄúGod uses imperfect vessels in the Bible like King D‚Ä¶,0,0,
RT @TRobinsonNewEra: Guess who tried to prevent the extradition of terrorist Babar Ahmad to ü?ü?USA for secretly running an Al Qaeda Taliban‚Ä¶,-0.4,0.7,
US forces destroyed USD 80m of Taliban's drug money in Afghanistan.. https://t.co/SjQ5dADJmY,0,0,
@VicBergerIV The American Taliban. Fascist theocrats who want nothing more than a monotheistic system of government.,0.25,0.25,
RT @ProudResister: .@JackKingston justifying Evangelicals voting for a child molester: ‚ÄúGod uses imperfect vessels in the Bible like King D‚Ä¶,0,0,
"RT @voadeewa: Peshawar High Court bars federal from releasing former Pakistani Taliban  spokesman Ihsanullah Ihsan, lawyer Fazal Khan tells‚Ä¶",0.08,0.27,
"RT @Bagh_eBabur: Extremely rare photos of the Minaret of Chakari in southern Kabul, #Afghanistan built in the 1st century AD. A Buddhist pi‚Ä¶",0.15,0.45,
"RT @iFlamengoNews: Torcida do @Flamengo gritar√° o nome de Dona Orfa, m√£e do t√©cnico Reinaldo Rueda, que est√° passando por problemas de sa√∫d‚Ä¶",0,0,
∆èfqanƒ±standa Talibanƒ±n narkotik madd…?emal ed…ôn 25 laboratoriyasƒ± m…ôhv edilib https://t.co/UrsJ0gaRxB https://t.co/Gs8wpTPtnz,0,0,
RT @iSarmadKiyani: The PAT workers insisted that the barricades were legal and that they had been set up four years ago to protect Qadri‚Ä≤s‚Ä¶,0.2,0.2,
@CindyMunz @Leslie67915456 @J_Rogers_13 @CarolynMack21 @tutt_brian @SharonKRussell @iamadriandev @MooreSenate U kno‚Ä¶ https://t.co/iKabSoOTTD,0,0,
RT @TRobinsonNewEra: Guess who tried to prevent the extradition of terrorist Babar Ahmad to ü?ü?USA for secretly running an Al Qaeda Taliban‚Ä¶,-0.4,0.7,
@BraisbyI @HuwGruffydd Stuff like this doesn't help either https://t.co/Ww9qbcaOWH,0,0,
https://t.co/z01qx1CrCV,0,0,
Militer AS Hancurkan 25 Pabrik Narkotika Sumber Pendapatan Taliban https://t.co/fVhZmSe9vh https://t.co/YoF5svCGwY,0,0,
VIDEO: As√≠ se vive en el herm√©tico territorio controlado por El Talib√°n en Afganist√°n https://t.co/ZMangr72mQ,0,0,
"@Stonekettle American Taliban, Chapter 2017...",0,0,
"RT @cbouzy: Some did not like my comment about evangelicals, but sometimes the truth hurts. Evangelicals voted overwhelmingly for a man tha‚Ä¶",0.5,1,
"RT @kanimozhi: Dear PM @narendramodi 4yrs over NOT a single FIR, why not arrest them. Even @PChidambaram_IN happily financing Taliban with‚Ä¶",0.2869047619,0.4047619048,
"@secupp 1/ The beauty of roy moore is that, even if you ignore the sexual misconduct, he‚Äôs still a racist, a homoph‚Ä¶ https://t.co/v0XZtiYBMo",0.5,0.8333333333,
"RT @JudLounsbury: Last night is still a national tragedy. Bannon ALMOST got American Taliban elected, who thought Blacks should still be sl‚Ä¶",0,0.0333333333,
"RT @voadeewa: Peshawar High Court bars federal from releasing former Pakistani Taliban  spokesman Ihsanullah Ihsan, lawyer Fazal Khan tells‚Ä¶",0.08,0.27,
RT @SudarshanNewsTV: ‡§∏‡§Ç‡§∏‡§æ‡§∞ ‡§ï‡•?‡§∏‡§¨‡§∏‡•?‡§¶‡•Å‡§∞‡•ç‡§¶‡§æ‡§Ç‡§§ ‡§?§§‡§Ç‡§ï‡•\ ‡§¶‡§≤ #Taliban ‡§ï‡•?‡§ï‡•Å‡§ñ‡•ç‡§Ø‡§æ‡§§ ‡§∏‡§Ç‡§?@PChidambaram_IN ‡§ï‡•\ ‡§§‡§∏‡•ç‡§µ‡•\‡§∞ ‡§ï‡•?‡§¨‡§æ‡§¶ ‡§∞‡§æ‡§ú‡§®‡•à‡§§‡§ø‡§?‡§¨‡§µ‡§Ç‡§°‡§∞ . @INCIndia‚Ä¶,0,0,
RT @TRobinsonNewEra: Guess who tried to prevent the extradition of terrorist Babar Ahmad to ü?ü?USA for secretly running an Al Qaeda Taliban‚Ä¶,-0.4,0.7,
VIDEO: As√≠ se vive en el herm√©tico territorio controlado por El Talib√°n en Afganist√°n #medioOriente https://t.co/iKRBtkpPTy,0,0,
RT @ProudResister: .@JackKingston justifying Evangelicals voting for a child molester: ‚ÄúGod uses imperfect vessels in the Bible like King D‚Ä¶,0,0,
"RT @jpc268: Now that the American Taliban took their hooded robes off, I hope we got lots of photographs and all their names. Theofascism h‚Ä¶",0,0,
"RT @voadeewa: Peshawar High Court bars federal from releasing former Pakistani Taliban  spokesman Ihsanullah Ihsan, lawyer Fazal Khan tells‚Ä¶",0.08,0.27,
RT @mughalbha: #ImranKhan cannot just blame #PakistanArmy &amp, #MilitaryDictatorShip for the rise in #IslamicExtremism in #Pakistan he cannot‚Ä¶,0,0
"RT @FranksteinNews: Taliban dont belive that Osama Bin Laden is really dead, :s",-0.225,0.7,
"RT @kanimozhi: Dear PM @narendramodi 4yrs over NOT a single FIR, why not arrest them. Even @PChidambaram_IN happily financing Taliban with‚Ä¶",0.2869047619,0.4047619048,
"RT @cbouzy: Some did not like my comment about evangelicals, but sometimes the truth hurts. Evangelicals voted overwhelmingly for a man tha‚Ä¶",0.5,1,
@iamabdulWajid @AJEnglish Rumors of Putin's influence has been widely exaggerated for political gain. As for the Ta‚Ä¶ https://t.co/216vb5pQ7M,-0.25,0.55,
RT @ericpalmsprings: @NancyAFrench @MaxBoot This is the result of our own warped evangelical 'Christian' taliban--Y'all-queda.,0.3,0.5,
RT @SudarshanNewsTV: ‡§∏‡§Ç‡§∏‡§æ‡§∞ ‡§ï‡•?‡§∏‡§¨‡§∏‡•?‡§¶‡•Å‡§∞‡•ç‡§¶‡§æ‡§Ç‡§§ ‡§?§§‡§Ç‡§ï‡•\ ‡§¶‡§≤ #Taliban ‡§ï‡•?‡§ï‡•Å‡§ñ‡•ç‡§Ø‡§æ‡§§ ‡§∏‡§Ç‡§?@PChidambaram_IN ‡§ï‡•\ ‡§§‡§∏‡•ç‡§µ‡•\‡§∞ ‡§ï‡•?‡§¨‡§æ‡§¶ ‡§∞‡§æ‡§ú‡§®‡•à‡§§‡§ø‡§?‡§¨‡§µ‡§Ç‡§°‡§∞ . @INCIndia‚Ä¶,0,0,
RT @TRobinsonNewEra: Guess who tried to prevent the extradition of terrorist Babar Ahmad to ü?ü?USA for secretly running an Al Qaeda Taliban‚Ä¶,-0.4,0.7,
RT @TRobinsonNewEra: Guess who tried to prevent the extradition of terrorist Babar Ahmad to ü?ü?USA for secretly running an Al Qaeda Taliban‚Ä¶,-0.4,0.7,
RT @iSarmadKiyani: The PAT workers insisted that the barricades were legal and that they had been set up four years ago to protect Qadri‚Ä≤s‚Ä¶,0.2,0.2,
